Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status,name,Customerid
INN00001,2,0,1,2,Meal Plan 1,0,Room_Type 1,224,2017,10,2,Offline,0,0,0,65,0,Not_Canceled,Tyler Smith,1
INN00002,2,0,2,3,Not Selected,0,Room_Type 1,5,2018,11,6,Online,0,0,0,106.68,1,Not_Canceled,Scott Young,2
INN00003,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Online,0,0,0,60,0,Canceled,Heather Meyer,3
INN00004,2,0,0,2,Meal Plan 1,0,Room_Type 1,211,2018,5,20,Online,0,0,0,100,0,Canceled,Erik Moreno,4
INN00005,2,0,1,1,Not Selected,0,Room_Type 1,48,2018,4,11,Online,0,0,0,94.5,0,Canceled,Robert Rollins,5
INN00006,2,0,0,2,Meal Plan 2,0,Room_Type 1,346,2018,9,13,Online,0,0,0,115,1,Canceled,Erica Smith,6
INN00007,2,0,1,3,Meal Plan 1,0,Room_Type 1,34,2017,10,15,Online,0,0,0,107.55,1,Not_Canceled,Michael Smith,7
INN00008,2,0,1,3,Meal Plan 1,0,Room_Type 4,83,2018,12,26,Online,0,0,0,105.61,1,Not_Canceled,Lee Sutton,8
INN00009,3,0,0,4,Meal Plan 1,0,Room_Type 1,121,2018,7,6,Offline,0,0,0,96.9,1,Not_Canceled,Melissa Matthews,9
INN00010,2,0,0,5,Meal Plan 1,0,Room_Type 4,44,2018,10,18,Online,0,0,0,133.44,3,Not_Canceled,Tina Dorsey,10
INN00011,1,0,1,0,Not Selected,0,Room_Type 1,0,2018,9,11,Online,0,0,0,85.03,0,Not_Canceled,Richard Kelley,11
INN00012,1,0,2,1,Meal Plan 1,0,Room_Type 4,35,2018,4,30,Online,0,0,0,140.4,1,Not_Canceled,Michael Anderson,12
INN00013,2,0,2,1,Not Selected,0,Room_Type 1,30,2018,11,26,Online,0,0,0,88,0,Canceled,Teresa Montgomery,13
INN00014,1,0,2,0,Meal Plan 1,0,Room_Type 1,95,2018,11,20,Online,0,0,0,90,2,Canceled,Chelsea White,14
INN00015,2,0,0,2,Meal Plan 1,0,Room_Type 1,47,2017,10,20,Online,0,0,0,94.5,2,Not_Canceled,David Anderson,15
INN00016,2,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Online,0,0,0,115,1,Canceled,Sean Parker,16
INN00017,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,10,5,Offline,0,0,0,96,0,Not_Canceled,Daniel Anderson,17
INN00018,2,0,1,3,Not Selected,0,Room_Type 1,1,2017,8,10,Online,0,0,0,96,1,Not_Canceled,Kelly Ball,18
INN00019,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65,0,Canceled,Erica Cannon,19
INN00020,2,0,1,0,Meal Plan 1,0,Room_Type 1,12,2017,10,4,Offline,0,0,0,72,0,Not_Canceled,Vicki Rodgers,20
INN00021,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65,0,Canceled,Jeremy Brown,21
INN00022,1,0,0,1,Meal Plan 1,0,Room_Type 1,122,2018,11,25,Corporate,0,0,0,67,0,Not_Canceled,Brandon Nelson,22
INN00023,2,0,2,4,Meal Plan 1,0,Room_Type 1,2,2018,3,20,Offline,0,0,0,85,0,Not_Canceled,Timothy Fisher,23
INN00024,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105,0,Not_Canceled,Joseph Sullivan,24
INN00025,2,0,2,1,Not Selected,0,Room_Type 1,130,2018,5,22,Online,0,0,0,94.5,1,Not_Canceled,Amanda Forbes,25
INN00026,2,0,0,2,Meal Plan 1,0,Room_Type 1,99,2018,4,28,Online,0,0,0,114.3,1,Not_Canceled,Tonya Andrade,26
INN00027,2,0,1,1,Meal Plan 1,0,Room_Type 1,60,2017,9,21,Offline,0,0,0,65,0,Not_Canceled,Earl Walker,27
INN00028,1,0,0,2,Meal Plan 1,0,Room_Type 4,2,2018,5,19,Aviation,0,0,0,110,0,Canceled,Barbara Franco,28
INN00029,1,0,1,2,Meal Plan 1,0,Room_Type 1,37,2017,11,6,Online,0,0,0,37.33,0,Canceled,Ray Mitchell,29
INN00030,2,0,0,2,Meal Plan 2,0,Room_Type 1,56,2017,9,17,Offline,0,0,0,82,0,Not_Canceled,Stephen Barton,30
INN00031,2,0,1,1,Meal Plan 1,0,Room_Type 4,3,2017,9,19,Online,0,0,0,177.5,1,Not_Canceled,Joanna Graves,31
INN00032,2,0,2,2,Meal Plan 1,0,Room_Type 1,107,2018,11,13,Online,0,0,0,87.5,1,Not_Canceled,Rick Curtis,32
INN00033,0,2,0,3,Meal Plan 1,0,Room_Type 2,56,2018,12,7,Online,0,0,0,82.44,1,Not_Canceled,Robert Porter,33
INN00034,2,0,0,1,Not Selected,0,Room_Type 1,2,2018,1,9,Online,0,0,0,69.5,1,Not_Canceled,Jennifer Cline,34
INN00035,2,0,0,2,Meal Plan 1,0,Room_Type 1,72,2018,10,7,Offline,0,0,0,85.5,0,Not_Canceled,Dr. Jessica Smith,35
INN00036,2,0,0,1,Not Selected,1,Room_Type 1,23,2018,4,27,Online,0,0,0,115,1,Not_Canceled,Travis Patel,36
INN00037,1,0,2,1,Meal Plan 1,0,Room_Type 1,34,2018,6,19,Online,0,0,0,81,0,Canceled,Sherry Walsh,37
INN00038,2,0,0,1,Meal Plan 1,0,Room_Type 1,289,2017,10,17,Offline,0,0,0,67,0,Not_Canceled,Stacey Smith,38
INN00039,2,0,2,3,Not Selected,0,Room_Type 1,247,2018,11,19,Online,0,0,0,63.75,0,Canceled,Diana Rogers,39
INN00040,2,0,2,1,Meal Plan 1,0,Room_Type 4,186,2018,7,30,Online,0,0,0,121.8,1,Canceled,Morgan Carrillo,40
INN00041,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,2018,11,1,Online,0,0,0,93.6,2,Not_Canceled,Samuel Wolfe,41
INN00042,2,0,0,2,Meal Plan 1,0,Room_Type 1,35,2018,6,21,Online,0,0,0,102,1,Not_Canceled,Thomas Lynch,42
INN00043,3,0,2,1,Meal Plan 1,0,Room_Type 1,96,2018,4,10,Online,0,0,0,121.8,1,Not_Canceled,Justin Lopez,43
INN00044,2,0,1,1,Not Selected,0,Room_Type 1,41,2018,6,27,Online,0,0,0,98.1,1,Canceled,Wendy Reeves,44
INN00045,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,2017,11,18,Offline,0,0,0,60,1,Not_Canceled,Cheryl Griffin,45
INN00046,2,0,0,3,Meal Plan 1,0,Room_Type 1,146,2017,12,29,Offline,0,0,0,75,0,Not_Canceled,Lori Nash,46
INN00047,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73,0,Not_Canceled,Todd Shaw,47
INN00048,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,104,0,Not_Canceled,April Brooks,48
INN00049,2,0,0,4,Not Selected,0,Room_Type 1,57,2018,11,1,Online,0,0,0,79.2,1,Not_Canceled,Amy Romero MD,49
INN00050,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,2018,12,29,Online,0,0,0,125.8,2,Not_Canceled,Roger Nelson,50
INN00051,1,0,2,5,Not Selected,0,Room_Type 1,124,2018,5,30,Online,0,0,0,87.95,0,Not_Canceled,Nicholas Smith,51
INN00052,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,2018,4,22,Online,0,0,0,106,0,Canceled,Jacqueline Johnson,52
INN00053,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,2018,5,16,Online,0,0,0,136.67,1,Not_Canceled,Veronica Diaz,53
INN00054,2,0,0,4,Meal Plan 1,0,Room_Type 4,51,2017,11,11,Offline,0,0,0,60,1,Not_Canceled,Rachel Lam,54
INN00055,2,0,1,0,Not Selected,0,Room_Type 1,13,2018,6,13,Online,0,0,0,89,2,Not_Canceled,Paul Simmons,55
INN00056,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,2018,5,19,Online,0,0,0,136,1,Not_Canceled,Matthew Collins,56
INN00057,2,0,0,1,Not Selected,0,Room_Type 1,139,2018,7,28,Online,0,0,0,94.5,1,Not_Canceled,Lisa Bush,57
INN00058,2,0,1,2,Meal Plan 1,0,Room_Type 1,117,2018,12,26,Online,0,0,0,93.6,2,Not_Canceled,Mr. David Miller,58
INN00059,2,0,1,4,Meal Plan 1,0,Room_Type 4,39,2018,4,20,Online,0,0,0,120.6,0,Canceled,Robert Chavez,59
INN00060,2,0,0,3,Meal Plan 1,0,Room_Type 4,86,2018,4,6,Online,0,0,0,99.3,1,Not_Canceled,Reginald Grant,60
INN00061,2,2,0,1,Meal Plan 1,1,Room_Type 6,2,2018,9,2,Online,0,0,0,258,1,Not_Canceled,Megan Brown,61
INN00062,1,0,0,3,Meal Plan 1,0,Room_Type 4,19,2018,5,3,Online,0,0,0,120.12,2,Not_Canceled,Melanie Matthews,62
INN00063,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95,0,Not_Canceled,Joshua Martinez,63
INN00064,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2017,9,10,Complementary,0,0,0,0,1,Not_Canceled,Crystal Durham,64
INN00065,2,0,2,1,Meal Plan 1,0,Room_Type 1,86,2018,12,18,Offline,0,0,0,75,0,Not_Canceled,Morgan Edwards,65
